Pos|Titolo|Publisher|Anno|TitoloNorm|Link
220|Dominion Rules|Dominion Games|2008|dominion rules|http://index.rpg.net/display-entry.phtml?mainid=11415
224|A Dirty World|Schröedinger's Cat Press|2008|dirty world|http://index.rpg.net/display-entry.phtml?mainid=10922
279|Alpha Omega: The Beginning and the End|Mindstorm Labs|2008|alpha omega|http://index.rpg.net/display-entry.phtml?mainid=9432
294|Ghosts of Albion Roleplaying Game|Eden Studios|2008|ghosts of albion|http://index.rpg.net/display-entry.phtml?mainid=10623
365|Desolation|Greymalkin Designs|2008|desolation|http://index.rpg.net/display-entry.phtml?mainid=10621
438|Summerland|Fire Ruby Designs|2008|summerland|http://index.rpg.net/display-entry.phtml?mainid=11292
440|Thousand Suns|Rogue Games|2008|thousand suns|http://index.rpg.net/display-entry.phtml?mainid=9517
446|Maid: The Roleplaying Game|Diamond Sutra|2008|maid:|http://index.rpg.net/display-entry.phtml?mainid=10908
474|The PS238 Roleplaying Game|Hero Games|2008|ps238|http://index.rpg.net/display-entry.phtml?mainid=9914
501|Zombie Cinema|Arkenstone Publishing|2008|zombie cinema|http://index.rpg.net/display-entry.phtml?mainid=12479
509|Duty & Honour|Omnihedron Games|2008|duty & honour|http://index.rpg.net/display-entry.phtml?mainid=13077
541|Helix: The Post Apocalypse, High-Tech, Fantasy, Western Role Playing Game|Adam Weber|2008|helix|http://index.rpg.net/display-entry.phtml?mainid=10930
582|Swords & Wizardry|Mythmere Games|2008|swords & wizardry|http://index.rpg.net/display-entry.phtml?mainid=11394
598|Cortex Role Playing Game System|Margaret Weis Productions|2008|cortex|http://index.rpg.net/display-entry.phtml?mainid=10829
601|Bounty Head Bebop|Heroic Journey Publishing|2008|bounty head bebop|http://index.rpg.net/display-entry.phtml?mainid=13271
603|Mutant Future|Goblinoid Games|2008|mutant future|http://index.rpg.net/display-entry.phtml?mainid=10317
611|The Cog Wars: Zero Edition|Amagi Games|2008|cog wars|http://index.rpg.net/display-entry.phtml?mainid=11225
698|Exquisite Replicas|Abstract Nova|2008|exquisite replicas|http://index.rpg.net/display-entry.phtml?mainid=11187
728|Arsenal|Catalyst Game Labs|2008|arsenal|http://index.rpg.net/display-entry.phtml?mainid=9318
734|Omnifray|Lulu|2008|omnifray|http://index.rpg.net/display-entry.phtml?mainid=10881
786|A Song of Ice and Fire Roleplaying Quickstart|Green Ronin Publishing|2008|song of ice and fire|http://index.rpg.net/display-entry.phtml?mainid=10406
799|Sufficiently Advanced|Valent Games|2008|sufficiently advanced|http://index.rpg.net/display-entry.phtml?mainid=9312
831|Hot Chicks: The Roleplaying Game|Dakkar Unlimited|2008|hot chicks|http://index.rpg.net/display-entry.phtml?mainid=15367
882|Demon Hunters Role Playing Game|Margaret Weis Productions|2008|demon hunters|http://index.rpg.net/display-entry.phtml?mainid=9906
894|PDQ Sharp! (PDQ#)|Atomic Sock Monkey Press|2008|pdq|http://index.rpg.net/display-entry.phtml?mainid=12602
898|StarSIEGE: Event Horizon|Troll Lord Games|2008|starsiege|http://index.rpg.net/display-entry.phtml?mainid=10815
917|Eldritch Role-Playing System|Goodman Games|2008|eldritch|http://index.rpg.net/display-entry.phtml?mainid=10039
981|Anima: Beyond Fantasy|Fantasy Flight Games|2008|anima|http://index.rpg.net/display-entry.phtml?mainid=10929
986|Twilight: 2013|93 Games Studio|2008|twilight: 2013|http://index.rpg.net/display-entry.phtml?mainid=11748
1036|Sea Dracula|Atarashi Games|2008|sea dracula|http://index.rpg.net/display-entry.phtml?mainid=13083
1042|The Squared Circle: Wrestling RPG|Day Dreamer Interactive|2008|squared circle|http://index.rpg.net/display-entry.phtml?mainid=10593
1151|The Far Towers|Amagi Games|2008|far towers|http://index.rpg.net/display-entry.phtml?mainid=10422
1156|Resolute: The Superhero Role Playing Game|Teddy Bear Press|2008|resolute|http://index.rpg.net/display-entry.phtml?mainid=13142
1160|Agency|AEG|2008|agency|http://index.rpg.net/display-entry.phtml?mainid=12054
1170|Sweet Agatha|Kevin Allen Jr. Design|2008|sweet agatha|http://index.rpg.net/display-entry.phtml?mainid=13075
1179|Go Fer Yer Gun!|Beyond Belief Games|2008|go fer yer gun|http://index.rpg.net/display-entry.phtml?mainid=14419
1185|Microcosm|Amagi Games|2008|microcosm|http://index.rpg.net/display-entry.phtml?mainid=10424
1224|The Unofficial Blade Runner Roleplaying Game|Farsight Games|2008|blade runner|http://index.rpg.net/display-entry.phtml?mainid=12127
1225|QUERP: Quick Easy Role Playing|Greywood Publishing|2008|querpg|http://index.rpg.net/display-entry.phtml?mainid=11675
1227|Sons of Liberty|Kallisti Press|2008|sons of liberty|http://index.rpg.net/display-entry.phtml?mainid=10115
1230|Annalise|Hamsterprophet Productions|2008|annalise|http://index.rpg.net/display-entry.phtml?mainid=14020
1247|Castlemourn|Margaret Weis Productions|2008|castlemourn|http://index.rpg.net/display-entry.phtml?mainid=10405
1268|Heirs to Olympia|Countess Games|2008|heirs to olympia|http://index.rpg.net/display-entry.phtml?mainid=10407
1272|Runner's Companion|Catalyst Game Labs|2008|runner's companion|http://index.rpg.net/display-entry.phtml?mainid=10615
1305|Chimaera|Mongoose Publishing / Chimaera Studios|2008|chimaera|http://index.rpg.net/display-entry.phtml?mainid=11270
1346|Simple Sixes|Keck Publishing|2008|simple sixes|http://index.rpg.net/display-entry.phtml?mainid=11126
1388|A Flower for Mara|Dark Omen Games|2008|flower for mara|http://index.rpg.net/display-entry.phtml?mainid=13076
1394|Karma Roleplaying System|Bards and Sages Publishing|2008|karma|http://index.rpg.net/display-entry.phtml?mainid=10986
1400|InvaderZ|Postmortem Studios|2008|invaderz|http://index.rpg.net/display-entry.phtml?mainid=16923
1405|Hoard|Amagi Games|2008|hoard|http://index.rpg.net/display-entry.phtml?mainid=12060
1406|Legend of the Burning Sands|AEG|2008|legend of the burning sands|http://index.rpg.net/display-entry.phtml?mainid=13185
1409|Serial Homicide Unit|Incarnadine Press|2008|serial homicide unit|http://index.rpg.net/display-entry.phtml?mainid=13084
1412|New World Disorder|Precis Intermedia Gaming|2008|new world disorder|http://index.rpg.net/display-entry.phtml?mainid=10772
1456|RADZ|Deep7|2008|radz|http://index.rpg.net/display-entry.phtml?mainid=13720
1499|Cursed Life|AGES Gaming|2008|cursed life|http://index.rpg.net/display-entry.phtml?mainid=9186
1505|Comix: The RPG|Shiny Red Button Games|2008|comix|http://index.rpg.net/display-entry.phtml?mainid=13755
1506|Neverwhen|Dragondyne Publishing|2008|neverwhen|http://index.rpg.net/display-entry.phtml?mainid=11707
1514|Ghostories|Precis Intermedia|2008|ghostories|http://index.rpg.net/display-entry.phtml?mainid=10624
1527|Fire and Sword: Short Version|BRP Central|2008|fire and sword|http://index.rpg.net/display-entry.phtml?mainid=10956
1532|Uchronia: The Mecha Exodus|Silence Indigo|2008|uchronia|http://index.rpg.net/display-entry.phtml?mainid=10888
1534|Ert: The Era of the Powers|RNR|2008|ert|http://index.rpg.net/display-entry.phtml?mainid=9693
1538|Gamma-Trollworld|Outlaw Press|2008|gamma-trollworld|http://index.rpg.net/display-entry.phtml?mainid=13553
1548|Solipsist|Box Ninja|2008|solipsist|http://index.rpg.net/display-entry.phtml?mainid=10655
1643|Secrets and Lies|Plumbago Lounge|2008|secrets and lies|http://index.rpg.net/display-entry.phtml?mainid=11679
1680|Candycreeps|Green Fairy Games|2008|candycreeps|http://index.rpg.net/display-entry.phtml?mainid=15622
1691|Solar System|Arkenstone Publishing|2008|solar system|http://index.rpg.net/display-entry.phtml?mainid=17332
1694|The Setnin Sector|Farsight Games|2008|setnin sector|http://index.rpg.net/display-entry.phtml?mainid=12129
1700|S6: Isle of Death|Kenzer & Company|2008|s6: isle of death|http://index.rpg.net/display-entry.phtml?mainid=14157
1706|Xpress|Postmortem Studios|2008|xpress|http://index.rpg.net/display-entry.phtml?mainid=16956
1707|The Eighth Sea|Vulpinoid Studios|2008|eighth sea|http://index.rpg.net/display-entry.phtml?mainid=15312
1713|Storming the Wizard's Tower Level 1: Fighting Monsters|Lumpley Games|2008|storming the wizard's tower|http://index.rpg.net/display-entry.phtml?mainid=17329
1724|Kids, Castles & Caves|Brave Halfling Publishing|2008|kids, castles & caves|http://index.rpg.net/display-entry.phtml?mainid=13891
1730|Lady's Rock|Erisian Entertainment|2008|lady's rock|http://index.rpg.net/display-entry.phtml?mainid=16818
1744|Haiiiii-Ya!|Goodman Games|2008|haiiiii-ya|http://index.rpg.net/display-entry.phtml?mainid=16026
1875|FearMonger|Sane Studios|2008|fearmonger|http://index.rpg.net/display-entry.phtml?mainid=18189
1876|Class Dismissed!|Sane Studios|2008|class dismissed|http://index.rpg.net/display-entry.phtml?mainid=18188
1925|Saga Machine|Tab Creations Collective|2008|saga machine|http://index.rpg.net/display-entry.phtml?mainid=19017
1934|Brute Squad|Cutter's Guild Games|2008|brute squad|http://index.rpg.net/display-entry.phtml?mainid=19227
1949|Tab-System Classic|Tab Creations Collective|2008|tab-system|http://index.rpg.net/display-entry.phtml?mainid=19019
2000|Macabre|Farsight Games|2008|macabre|http://index.rpg.net/display-entry.phtml?mainid=12116
2024|The Sketch System|Farsight Games|2008|sketch system|http://index.rpg.net/display-entry.phtml?mainid=12130
2064|Krone|Crayon Samurai|2008|krone|http://index.rpg.net/display-entry.phtml?mainid=13611
2066|Mist-Robed Gate|Two Scooters Press|2008|mist-robed gate|http://index.rpg.net/display-entry.phtml?mainid=13085
2088|Dead Reign|Palladium Books|2008|dead reign|http://index.rpg.net/display-entry.phtml?mainid=11163
2089|The Arsenal of Heaven|Silver Branch Games|2008|arsenal of heaven|http://index.rpg.net/display-entry.phtml?mainid=10073
80|Swashbucklers of the 7 Skies|Atomic Sock Monkey / Evil Hat Productions|2009|swashbucklers|http://index.rpg.net/display-entry.phtml?mainid=11947
106|Slasher Flick|Spectrum Games|2009|slasher flick|http://index.rpg.net/display-entry.phtml?mainid=11593
111|Diaspora|VSCA Publishing|2009|diaspora|http://index.rpg.net/display-entry.phtml?mainid=13114
137|Spite: The Second Book of Pandemonium|Neoplastic Press|2009|spite|http://index.rpg.net/display-entry.phtml?mainid=11638
161|Eclipse Phase|Catalyst Game Labs / Sandstorm Productions / Posthuman Studios|2009|eclipse phase|http://index.rpg.net/display-entry.phtml?mainid=13054
186|Beat to Quarters|Omnihedron Games|2009|beat to quarters|http://index.rpg.net/display-entry.phtml?mainid=13373
191|Rogue Trader|Fantasy Flight Games|2009|rogue trader|http://index.rpg.net/display-entry.phtml?mainid=13348
211|Fantasy Craft|Mongoose Publishing / Crafty Games|2009|fantasy craft|http://index.rpg.net/display-entry.phtml?mainid=12958
248|Chronica Feudalis|Cellar Games|2009|chronica feudalis|http://index.rpg.net/display-entry.phtml?mainid=12067
313|Fiasco|Bully Pulpit Games|2009|fiasco|http://index.rpg.net/display-entry.phtml?mainid=13999
316|Mutant City Blues|Pelgrane Press|2009|mutant city blues|http://index.rpg.net/display-entry.phtml?mainid=11646
354|Witch Girls Adventures|Channel M Publishing|2009|witch girls adventures|http://index.rpg.net/display-entry.phtml?mainid=12046
415|Geist: The Sin-Eaters|White Wolf Publishing|2009|geist|http://index.rpg.net/display-entry.phtml?mainid=13117
427|OpenQuest|D101 Games|2009|openquest|http://index.rpg.net/display-entry.phtml?mainid=13163
454|Spellcraft & Swordplay|Elf Lair Games|2009|spellcraft & swordplay|http://index.rpg.net/display-entry.phtml?mainid=11899
475|Jaws of the Six Serpents|Silver Branch Games|2009|jaws of the six serpents|http://index.rpg.net/display-entry.phtml?mainid=12624
496|On Her Majesty's Arcane Service|Flying Mice|2009|on her majesty's arcane service|http://index.rpg.net/display-entry.phtml?mainid=13274
553|Dragon Age|Green Ronin Publishing|2009|dragon age|http://index.rpg.net/display-entry.phtml?mainid=13677
630|Squadron UK|Simon Burley Productions|2009|squadron uk|http://index.rpg.net/display-entry.phtml?mainid=12077
705|Hellcats and Hockeysticks|Corone Design|2009|hellcats and hockeysticks|http://index.rpg.net/display-entry.phtml?mainid=13723
727|Supernatural Role Playing Game|Margaret Weis Productions|2009|supernatural|http://index.rpg.net/display-entry.phtml?mainid=12971
760|Monsters and Magic|Elf Lair Games|2009|monsters and magic|http://index.rpg.net/display-entry.phtml?mainid=11903
762|Swordsmen & Spellslingers|Elf Lair Games|2009|swordsmen & spellslingers|http://index.rpg.net/display-entry.phtml?mainid=11901
763|Combat and Conflict|Elf Lair Games|2009|combat and conflict|http://index.rpg.net/display-entry.phtml?mainid=11902
789|Mecha & Manga|Green Ronin Publishing|2009|mecha & manga|http://index.rpg.net/display-entry.phtml?mainid=13110
810|Heirs to the Lost World|Obsidian Serpent Games|2009|heirs to the lost world|http://index.rpg.net/display-entry.phtml?mainid=13799
827|Dark Aeons: The Atlantean Chronicles|Stardust Publications|2009|dark aeons|http://index.rpg.net/display-entry.phtml?mainid=12805
835|Peryton Fantasy Roleplaying Game|Peryton Publishing|2009|peryton fantasy|http://index.rpg.net/display-entry.phtml?mainid=16401
837|Fallen Leaves|Fire Ruby Designs|2009|fallen leaves|http://index.rpg.net/display-entry.phtml?mainid=13548
892|MSG™|johnheronproject|2009|msg|http://index.rpg.net/display-entry.phtml?mainid=11324
928|Cannibal Contagion|Alliterated Games|2009|cannibal contagion|http://index.rpg.net/display-entry.phtml?mainid=13344
931|Alpha Chronicles|Alpha Chronicles|2009|alpha chronicles|http://index.rpg.net/display-entry.phtml?mainid=14964
935|The Unexplained|Carnivore Games|2009|unexplained|http://index.rpg.net/display-entry.phtml?mainid=18156
938|FreeMarket|Sorencrane MRCZ|2009|freemarket|http://index.rpg.net/display-entry.phtml?mainid=13545
946|Operation: Fallen Reich|Fallen Publishing|2009|operation: fallen reich|http://index.rpg.net/display-entry.phtml?mainid=13448
956|Vox|aethereal FORGE|2009|vox|http://index.rpg.net/display-entry.phtml?mainid=12255
1018|X-plorers|Grey Area Games|2009|x-plorers|http://index.rpg.net/display-entry.phtml?mainid=13050
1020|Commonwealth Space|Flying Mice / Better Mousetrap Games|2009|commonwealth space|http://index.rpg.net/display-entry.phtml?mainid=12167
1024|Silvervine Games|Silvervine Games|2009|silvervine games|http://index.rpg.net/display-entry.phtml?mainid=16452
1030|Noctum|Wicked World Games / Mongoose Publishing|2009|noctum|http://index.rpg.net/display-entry.phtml?mainid=11825
1051|Ancient Mysteries|White Wolf Publishing|2009|ancient mysteries|http://index.rpg.net/display-entry.phtml?mainid=11717
1067|ECHOES|Farsight Games|2009|echoes|http://index.rpg.net/display-entry.phtml?mainid=12125
1075|Western City|Mongoose Publishing / Redbrick Germany|2009|western city|http://index.rpg.net/display-entry.phtml?mainid=13057
1088|Terror Network|Bedrock Games|2009|terror network|http://index.rpg.net/display-entry.phtml?mainid=13678
1095|Bill Coffin's Septimus|West End Games|2009|bill coffin's septimus|http://index.rpg.net/display-entry.phtml?mainid=13951
1098|KidWorld|Vajra Enterprises|2009|kidworld|http://index.rpg.net/display-entry.phtml?mainid=13747
1110|Fox Magic|Fool's Moon Entertainment|2009|fox magic|http://index.rpg.net/display-entry.phtml?mainid=14976
1125|A Penny for My Thoughts|Evil Hat Productions|2009|penny for my thoughts|http://index.rpg.net/display-entry.phtml?mainid=13116
1147|Cosmic Quest|Farsight Games|2009|cosmic quest|http://index.rpg.net/display-entry.phtml?mainid=12124
1168|Incarna|Grim Badger|2009|incarna|http://index.rpg.net/display-entry.phtml?mainid=11323
1204|The 13th Year|Farsight Games|2009|13th year|http://index.rpg.net/display-entry.phtml?mainid=12132
1253|Anima Prime|Berengad Games|2009|anima prime|http://index.rpg.net/display-entry.phtml?mainid=12066
1259|Gaslight Victorian Fantasy|Battlefield Press|2009|gaslight victorian fantasy|http://index.rpg.net/display-entry.phtml?mainid=14883
1314|Ikuisuuden laakso / Valley of Eternity|Pohjoismaisen roolipelaamisen seura ry|2009|ikuisuuden laakso / valley of eternity|http://index.rpg.net/display-entry.phtml?mainid=14021
1326|Edge of Darkness|Fantasy Flight Games|2009|edge of darkness|http://index.rpg.net/display-entry.phtml?mainid=15271
1333|Empire Of Dust|Red Design|2009|empire of dust|http://index.rpg.net/display-entry.phtml?mainid=17654
1338|Ganakagok|Consensus Games|2009|ganakagok|http://index.rpg.net/display-entry.phtml?mainid=13722
1353|Ephemeris|Nomadic Delirium Press|2009|ephemeris|http://index.rpg.net/display-entry.phtml?mainid=13591
1361|MonkeyDome|Imagination Sweatshop|2009|monkeydome|http://index.rpg.net/display-entry.phtml?mainid=17345
1368|S/lay w/Me|Adept Press|2009|s/lay w/me|http://index.rpg.net/display-entry.phtml?mainid=16432
1385|Montsegur 1244|Thoughtful Games|2009|montsegur|http://index.rpg.net/display-entry.phtml?mainid=15921
1399|The Dance and the Dawn|FGI Games / NDP Design|2009|dance and the dawn|http://index.rpg.net/display-entry.phtml?mainid=14026
1414|Chav: The Knifing|Postmortem Studios|2009|chav|http://index.rpg.net/display-entry.phtml?mainid=16916
1424|Beach Bunny Bimbos with Blasters|TriTac Systems|2009|beach bunny bimbos with blasters|http://index.rpg.net/display-entry.phtml?mainid=15201
1450|Labyrinths & Lycanthropes|Prince of Darkness Games|2009|labyrinths & lycanthropes|http://index.rpg.net/display-entry.phtml?mainid=12802
1469|Terror Thirteen|Anansi Games|2009|terror thirteen|http://index.rpg.net/display-entry.phtml?mainid=12910
1493|Hardwired Hinterland|TriTac Systems|2009|hardwired hinterland|http://index.rpg.net/display-entry.phtml?mainid=15199
1497|Radiance|M. J. Graham|2009|radiance|http://index.rpg.net/display-entry.phtml?mainid=12940
1523|54 Fantasy|Worlds of Adventure|2009|54 fantasy|http://index.rpg.net/display-entry.phtml?mainid=14957
1533|The Artifact|Store32|2009|artifact|http://index.rpg.net/display-entry.phtml?mainid=17130
1541|Codex Martialis|Ire Games|2009|codex martialis|http://index.rpg.net/display-entry.phtml?mainid=14649
1544|The Triune Legacy|Rocks Fall Studios|2009|triune legacy|http://index.rpg.net/display-entry.phtml?mainid=13721
1552|Two Worlds Tabletop RPG|RPGObjects|2009|two worlds|http://index.rpg.net/display-entry.phtml?mainid=12656
1557|Otherverse America Campaign Setting|Skortched Urf' Studios|2009|otherverse america|http://index.rpg.net/display-entry.phtml?mainid=15177
1568|Hands of the Muted God|Paizo Publishing|2009|hands of the muted god|http://index.rpg.net/display-entry.phtml?mainid=13047
1574|WEGS 101: Old Skool|GameWick Games|2009|wegs 101|http://index.rpg.net/display-entry.phtml?mainid=13478
1576|Roaring Twilight|Cornucopia Studios|2009|roaring twilight|http://index.rpg.net/display-entry.phtml?mainid=13273
1585|Cinema Vérité|Broken Meme gamedesignstudio|2009|cinema vérité|http://index.rpg.net/display-entry.phtml?mainid=12803
1591|Tome of Adventure|Fantasy Flight Games|2009|tome of adventure|http://index.rpg.net/display-entry.phtml?mainid=16324
1618|Gaterunner: The Rules & Tools|RPEX Technologies|2009|gaterunner|http://index.rpg.net/display-entry.phtml?mainid=12063
1627|Fellowship of the White Star|Thenodrin Presents|2009|fellowship of the white star|http://index.rpg.net/display-entry.phtml?mainid=16840
1635|The CORE-7 System|visioNation studios|2009|core 7|http://index.rpg.net/display-entry.phtml?mainid=12482
1653|Action Castle|Memento Mori Theatricks|2009|action castle|http://index.rpg.net/display-entry.phtml?mainid=17346
1675|The Chrysalis Revolt: 2709-2710|Happy Bishop Games|2009|chrysalis revolt|http://index.rpg.net/display-entry.phtml?mainid=13366
1677|Comic Book Super-Heroes|The Le Games|2009|comic book super-heroes|http://index.rpg.net/display-entry.phtml?mainid=17997
1684|Ribbon Drive|Buried Without Ceremony|2009|ribbon drive|http://index.rpg.net/display-entry.phtml?mainid=17272
1685|MADS Role Playing Game|Point of Insanity Game Studio|2009|mads|http://index.rpg.net/display-entry.phtml?mainid=13855
1701|Hideouts & Hoodlums, Book I: Men and Supermen|Games by Scott Casper|2009|hideouts & hoodlums|http://index.rpg.net/display-entry.phtml?mainid=15543
1717|The Drifter's Escape|These Are Our Games|2009|drifter's escape|http://index.rpg.net/display-entry.phtml?mainid=17320
1720|Misery Bubblegum|Muse of Fire Games|2009|misery bubblegum|http://index.rpg.net/display-entry.phtml?mainid=17352
1729|genreDiversion|Precis Intermedia Gaming|2009|genrediversion|http://index.rpg.net/display-entry.phtml?mainid=14876
1771|Valence Tiny|Valent Games|2009|valence tiny|http://index.rpg.net/display-entry.phtml?mainid=13996
1807|Phaethos|Simian Circle Games|2009|phaethos|http://index.rpg.net/display-entry.phtml?mainid=16729
1813|DAWG the RPG|Kenzer & Company|2009|dawg|http://index.rpg.net/display-entry.phtml?mainid=16863
1816|Verge|Peril Planet|2009|verge|http://index.rpg.net/display-entry.phtml?mainid=18130
1817|The Black Spot|Grasshopper Games|2009|black spot|http://index.rpg.net/display-entry.phtml?mainid=16833
1820|Zombies Ago-Go!|Fool's Cap Publishing|2009|zombies ago-go!|http://index.rpg.net/display-entry.phtml?mainid=17819
1824|Thrilling Noir Stories|Quick & Dirty Games|2009|thrilling noir stories|http://index.rpg.net/display-entry.phtml?mainid=16235
1827|Dark Waters|D3 Games|2009|dark waters|http://index.rpg.net/display-entry.phtml?mainid=16730
1863|Release|Vamplit Publishing|2009|release|http://index.rpg.net/display-entry.phtml?mainid=14651
1865|Shambles|A Terrible Idea|2009|shambles|http://index.rpg.net/display-entry.phtml?mainid=16806
1877|RoShamBo: The RPGing!|Fool's Cap Publishing|2009|roshambo|http://index.rpg.net/display-entry.phtml?mainid=17817
1878|The Magpie Codex|Jessup Games|2009|magpie codex|http://index.rpg.net/display-entry.phtml?mainid=16829
1988|Spiritual Warfare: The Roleplaying Game|Golgotha Games|2009|spiritual warfare|http://index.rpg.net/display-entry.phtml?mainid=13690
2022|Highlander: There Can Be Only One|Farsight Games|2009|highlander|http://index.rpg.net/display-entry.phtml?mainid=12128
2026|Stormland|Farsight Games|2009|stormland|http://index.rpg.net/display-entry.phtml?mainid=12131
2040|The Shotgun Diaries|John Wick Presents|2009|shotgun diaries|http://index.rpg.net/display-entry.phtml?mainid=17317
2052|Baptism of Fire: World War Two Role Play|Blackclaw Games|2009|baptism of fire|http://index.rpg.net/display-entry.phtml?mainid=19008
2113|Tainted Lands|Troll Lord Games|2009|tainted lands|http://index.rpg.net/display-entry.phtml?mainid=13041
32|The Dresden Files Roleplaying Game, Volume One: Your Story|Evil Hat Productions|2010|dresden files|http://index.rpg.net/display-entry.phtml?mainid=14582
34|Smallville Roleplaying Game|Margaret Weis Productions|2010|smallville|http://index.rpg.net/display-entry.phtml?mainid=15655
59|Leverage: The Roleplaying Game|Margaret Weis Productions|2010|leverage|http://index.rpg.net/display-entry.phtml?mainid=16593
62|Savage World|Pinnacle|2010|savage world|http://index.rpg.net/display-entry.phtml?mainid=15920
90|The Laundry|Cubicle 7 Entertainment|2010|laundry|http://index.rpg.net/display-entry.phtml?mainid=17099
126|Deathwatch|Fantasy Flight Games|2010|deathwatch|http://index.rpg.net/display-entry.phtml?mainid=15926
169|Progenitor|Arc Dream Publishing|2010|progenitor|http://index.rpg.net/display-entry.phtml?mainid=15669
176|Wu Xing: The Ninja Crusade|Third Eye Games|2010|wu xing|http://index.rpg.net/display-entry.phtml?mainid=15500
256|Legends of Anglerre|Cubicle 7 Entertainment|2010|legends of anglerre|http://index.rpg.net/display-entry.phtml?mainid=15930
297|Stars without Number|Sine Nomine Publishing|2010|stars without number|http://index.rpg.net/display-entry.phtml?mainid=16715
324|DC Adventures|Green Ronin Publishing|2010|dc adventures|http://index.rpg.net/display-entry.phtml?mainid=15908
355|Fight! The Fighting Game RPG|Divine Madness Press|2010|fight!|http://index.rpg.net/display-entry.phtml?mainid=14914
359|Untold|Wandering Men Studios|2010|untold|http://index.rpg.net/display-entry.phtml?mainid=16626
383|Strands of Fate|Void Star Games|2010|strands of fate|http://index.rpg.net/display-entry.phtml?mainid=16605
385|Shadow, Sword, & Spell|Rogue Games|2010|shadow, sword, & spell|http://index.rpg.net/display-entry.phtml?mainid=15888
404|Lamentations of the Flame Princess: Weird Fantasy Role-Playing|Lamentations of the Flame Princess|2010|lamentations of the flame princess|http://index.rpg.net/display-entry.phtml?mainid=15635
406|Reign Enchiridion|Cubicle 7 Entertainment / Arc Dream Publishing|2010|reign enchiridion|http://index.rpg.net/display-entry.phtml?mainid=15301
419|ICONS|Cubicle 7 Entertainment / Adamant Entertainment|2010|icons|http://index.rpg.net/display-entry.phtml?mainid=13877
428|Wild World Wrestling|Timeout Diversions|2010|wild world wrestling|http://index.rpg.net/display-entry.phtml?mainid=17023
468|Remember Tomorrow|Box Ninja|2010|remember tomorrow|http://index.rpg.net/display-entry.phtml?mainid=15318
492|Mini Six|AntiPaladin Games|2010|mini six|http://index.rpg.net/display-entry.phtml?mainid=16360
524|Apocalypse World|Lumpley Games|2010|apocalypse world|http://index.rpg.net/display-entry.phtml?mainid=15916
535|Interface Zero|Gun Metal Games|2010|interface zero|http://index.rpg.net/display-entry.phtml?mainid=16098
540|Mecha|Heroic Journey Publishing|2010|mecha|http://index.rpg.net/display-entry.phtml?mainid=15623
542|Dragons at Dawn|Southerwood Publishing|2010|dragons at dawn|http://index.rpg.net/display-entry.phtml?mainid=14276
546|Perfect|Buried Without Ceremony|2010|perfect|http://index.rpg.net/display-entry.phtml?mainid=17270
595|Killer Thriller|Timeout Diversions|2010|killer thriller|http://index.rpg.net/display-entry.phtml?mainid=16559
631|Heroes of the Fallen Lands|Wizards of the Coast|2010|heroes of the fallen lands|http://index.rpg.net/display-entry.phtml?mainid=16048
635|How We Came to Live Here|Galileo Games|2010|how we came to live here|http://index.rpg.net/display-entry.phtml?mainid=15826
641|Happy Birthday, Robot!|Smart Play Games / Evil Hat Productions|2010|happy birthday, robot|http://index.rpg.net/display-entry.phtml?mainid=15933
664|Supers!|Beyond Belief Games|2010|supers!|http://index.rpg.net/display-entry.phtml?mainid=14292
665|Pumpkin Town|Memento Mori Theatricks|2010|pumpkin town|http://index.rpg.net/display-entry.phtml?mainid=17351
703|Atomic Highway|Radioactive Ape Designs / Khepera Publishing|2010|atomic highway|http://index.rpg.net/display-entry.phtml?mainid=14050
713|Wordplay: The Big Five|D101 Games|2010|wordplay|http://index.rpg.net/display-entry.phtml?mainid=14767
724|Engine Heart|Viral Games|2010|engine heart|http://index.rpg.net/display-entry.phtml?mainid=16049
732|Time & Temp|Dig a Thousand Holes Publishing|2010|time & temp|http://index.rpg.net/display-entry.phtml?mainid=14951
736|Shattered Empires: The Roleplaying Game|Paradigm Concepts|2010|shattered empires|http://index.rpg.net/display-entry.phtml?mainid=16008
741|Monster Coliseum|Mongoose Publishing|2010|monster coliseum|http://index.rpg.net/display-entry.phtml?mainid=15056
743|Bogeyman|Sane Studios|2010|bogeyman|http://index.rpg.net/display-entry.phtml?mainid=17512
836|High Valor|Better Mousetrap Games / Silverlion Studios|2010|high valor|http://index.rpg.net/display-entry.phtml?mainid=15658
839|Adventures in Oz: Fantasy Roleplaying Beyond the Yellow Brick Road|F. Douglas Wall Publishing|2010|adventures in oz|http://index.rpg.net/display-entry.phtml?mainid=16744
841|Five by Five|Dreams and Dragons|2010|five by five|http://index.rpg.net/display-entry.phtml?mainid=15946
842|Edge|Outrider Studios|2010|edge|http://index.rpg.net/display-entry.phtml?mainid=18494
845|Blowback|Two Scooters Press|2010|blowback|http://index.rpg.net/display-entry.phtml?mainid=15931
910|Venârivè: Northwestern Lýthia|Kelestia Productions|2010|venârivè|http://index.rpg.net/display-entry.phtml?mainid=14509
919|Fortune's Fool|Pantheon Press|2010|fortune's fool|http://index.rpg.net/display-entry.phtml?mainid=15876
926|Eoris Essence|Visions of Essence|2010|eoris essence|http://index.rpg.net/display-entry.phtml?mainid=16487
929|Squawk Role-Playing Game|Game Arts Guild|2010|squawk|http://index.rpg.net/display-entry.phtml?mainid=16596
